Timestamp,Day of the sale,Quantity,Month of the year,Day of the week,Price (per item unless its a set),Card amount paid,Cash amount paid,Product type,Handmade / Beaded collections,Sterling Silver collections,Gold Plated collections,details,Zirconia Color,Mohave type,Birth Stone type,Set type 
5/7/2025 19:08:53,5/25/1907,1,May,Wednesday,368.2,145.2,223,Sterling Silver,,Sterling Silver Bracelets,,Mohave Stone,,Mohave ruby,,
5/30/2025 12:50:58,5/30/2005,1,May,Friday,30,30,0,Sterling Silver,,Sterling Silver Necklaces,,Keffiyeh necklace,,,,
5/30/2025 14:08:20,5/30/2024,1,May,Friday,20,0,20,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,
12/13/2024 9:58:59,7/15/2024,1,July,Monday,10,10,0,Handmade / Beaded,beaded bracelets,,,beads,,,,
12/13/2024 10:00:23,7/15/2024,1,July,Monday,45,43,2,Gold Plated,,,bracelets,Mohave Stone,,Mohave emerald,,
12/13/2024 10:01:35,7/15/2024,1,July,Monday,50,50,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,emerald,,,
12/13/2024 10:03:20,7/16/2024,1,July,Tuesday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,,
12/13/2024 10:04:20,7/16/2024,1,July,Tuesday,36,0,36,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,, 
