Timestamp,Day of the sale,Quantity,Month of the year,Day of the week,Price (per item unless its a set),Card amount paid,Cash amount paid,Product type,Handmade / Beaded collections,Sterling Silver collections,Gold Plated collections,details,Zirconia Color,Mohave type,Birth Stone type,Set type 
12/13/2024 9:58:59,7/15/2024,1,July,Monday,10,10,0,Handmade / Beaded,beaded bracelets,,,beads,,,,
12/13/2024 10:00:23,7/15/2024,1,July,Monday,45,43,2,Gold Plated,,,bracelets,Mohave Stone,,Mohave emerald,,
12/13/2024 10:01:35,7/15/2024,1,July,Monday,50,50,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,emerald,,,
12/13/2024 10:03:20,7/16/2024,1,July,Tuesday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,,
12/13/2024 10:04:20,7/16/2024,1,July,Tuesday,36,0,36,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,0,10,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,5,5,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:06:25,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:06:25,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,10,10,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:09:31,7/17/2024,1,July,Wednesday,60,60,0,Sterling Silver,,Sterling Silver Bracelets,,Raw Stone,,,"3 colours, hydro Zirconia",
12/13/2024 10:10:49,7/17/2024,1,July,Wednesday,40,40,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,
12/13/2024 10:14:24,7/18/2024,1,July,Thursday,10,10,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:16:14,7/19/2024,1,July,Friday,35,35,0,Sterling Silver,,Sterling Silver anklets,,,,,,
12/13/2024 10:17:42,7/19/2024,1,July,Friday,12,12,0,Handmade / Beaded,beaded bracelets,,,,,,,
12/13/2024 10:19:04,7/19/2024,1,July,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:19:04,7/19/2024,1,July,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:20:44,7/19/2024,1,July,Friday,22,22,0,Gold Plated,,,stud earings,,,,,
12/13/2024 10:21:55,7/19/2024,1,July,Friday,47,47,0,Gold Plated,,,necklaces,Raw Stone,,,Diamond white topaz (april),
12/13/2024 10:22:58,7/19/2024,1,July,Friday,20,20,0,Handmade / Beaded,beaded bracelets,,,brown lava,,,,
12/13/2024 10:24:05,7/20/2024,1,July,Saturday,48,0,48,Sterling Silver,,Sterling Silver Necklaces,,Allah,,,,
12/13/2024 10:25:25,7/20/2024,1,July,Saturday,28,28,0,Gold Plated,,,stud earings,Mohave Stone,,NA,,
12/13/2024 10:26:38,7/20/2024,1,July,Saturday,30,30,0,Sterling Silver,,Sterling Silver Necklaces,,Zirconia,white (diamond),,,
12/13/2024 10:27:37,7/20/2024,1,July,Saturday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,Flower,,,,
12/13/2024 10:28:59,7/20/2024,1,July,Saturday,36,36,0,Sterling Silver,,Sterling Silver Bracelets,,,,,,
