Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/13/2024 9:59:00,7/15/2024,1,July,Monday,10,10,,Handmade / Beaded,beaded bracelets,,,beads,,,,,
12/13/2024 10:00:23,7/15/2024,1,July,Monday,45,43,,Gold Plated,,,bracelets,Mohave Stone,,Mohave emerald,,,
12/13/2024 10:01:36,7/15/2024,1,July,Monday,50,50,,Sterling Silver,,Sterling Silver Rings,,Zirconia,emerald,,,,
12/13/2024 10:03:21,7/16/2024,1,July,Tuesday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,,,
12/13/2024 10:04:21,7/16/2024,1,July,Tuesday,36,,36,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,,10,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,5,5,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,,
12/13/2024 10:06:26,7/17/2024,1,July,Wednesday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:06:26,7/17/2024,1,July,Wednesday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:07:47,7/17/2024,1,July,Wednesday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:07:47,7/17/2024,1,July,Wednesday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:07:47,7/17/2024,1,July,Wednesday,10,10,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:09:31,7/17/2024,1,July,Wednesday,60,60,,Sterling Silver,,Sterling Silver Bracelets,,Raw Stone,,,"3 colours, hydro Zirconia",,
12/13/2024 10:10:50,7/17/2024,1,July,Wednesday,40,40,,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,,
12/13/2024 10:14:25,7/18/2024,1,July,Thursday,10,10,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:16:15,7/19/2024,1,July,Friday,35,35,,Sterling Silver,,Sterling Silver anklets,,,,,,,
12/13/2024 10:17:42,7/19/2024,1,July,Friday,12,12,,Handmade / Beaded,beaded bracelets,,,,,,,,
12/13/2024 10:19:05,7/19/2024,1,July,Friday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:19:05,7/19/2024,1,July,Friday,7.5,7.5,,Handmade / Beaded,Earing Charms,,,,,,,,
12/13/2024 10:20:45,7/19/2024,1,July,Friday,22,22,,Gold Plated,,,stud earings,,,,,,
12/13/2024 10:21:56,7/19/2024,1,July,Friday,47,47,,Gold Plated,,,necklaces,Raw Stone,,,Diamond white topaz (april),,
12/13/2024 10:22:59,7/19/2024,1,July,Friday,20,20,,Handmade / Beaded,beaded bracelets,,,brown lava,,,,,
12/13/2024 10:24:06,7/20/2024,1,July,Saturday,48,,48,Sterling Silver,,Sterling Silver Necklaces,,Allah,,,,,
12/13/2024 10:25:26,7/20/2024,1,July,Saturday,28,28,,Gold Plated,,,stud earings,Mohave Stone,,NA,,,
12/13/2024 10:26:39,7/20/2024,1,July,Saturday,30,30,,Sterling Silver,,Sterling Silver Necklaces,,Zirconia,white (diamond),,,,
12/13/2024 10:27:37,7/20/2024,1,July,Saturday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,Flower,,,,,
12/13/2024 10:28:59,7/20/2024,1,July,Saturday,36,36,,Sterling Silver,,Sterling Silver Bracelets,,,,,,,
12/13/2024 10:30:23,7/21/2024,1,July,Sunday,30,,30,Gold Plated,,,dangling earings,Mohave Stone,,NA,,,
12/13/2024 10:30:23,7/21/2024,1,July,Sunday,30,30,,Gold Plated,,,dangling earings,Mohave Stone,,NA,,,
12/13/2024 10:31:39,7/21/2024,1,July,Sunday,40,40,,Sterling Silver,,Sterling Silver Necklaces,,Butterfly,,,,,
12/13/2024 10:32:54,7/22/2024,1,July,Monday,49,49,,Sterling Silver,,Sterling Silver Stud Earings,,,,,,,
12/13/2024 10:34:17,7/22/2024,1,July,Monday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,Citrine,,
12/13/2024 10:36:32,7/23/2024,1,July,Tuesday,30,30,,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,,
12/13/2024 10:37:59,7/24/2024,1,July,Wednesday,25,25,,Gold Plated,,,dangling earings,Mohave Stone,,Mohave emerald,,,
12/13/2024 10:38:50,7/24/2024,1,July,Wednesday,50,50,,Gold Plated,,,necklaces,Mohave Stone,,Mohave emerald,,,
12/13/2024 10:42:29,7/25/2024,1,July,Thursday,24,24,,Gold Plated,,,dangling earings,Mohave Stone,,Mohave amethyst,,,
12/13/2024 10:47:27,7/25/2024,1,July,Thursday,40,40,,Gold Plated,,,bracelets,Mohave Stone,,Mohave amethyst,,,
12/13/2024 10:48:35,7/25/2024,1,July,Thursday,22,22,,Handmade / Beaded,,,,Raw Stone,,,Jasper,,
12/13/2024 10:49:26,7/25/2024,1,July,Thursday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,,,,,,
12/13/2024 10:52:24,7/26/2024,1,July,Friday,36,,36,Gold Plated,,,necklaces,Raw Stone,,,Peridot (august),,
12/13/2024 11:08:07,7/26/2024,1,July,Friday,30,,30,Gold Plated,,,dangling earings,Mohave Stone,,Mohave white turquoise,,,
12/13/2024 11:10:07,7/27/2024,1,July,Saturday,30,30,,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,,
12/13/2024 11:10:56,7/27/2024,1,July,Saturday,20,20,,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,,
12/13/2024 11:12:03,7/27/2024,1,July,Saturday,22,22,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Rose & Hamsa Hand,,
12/13/2024 11:13:00,7/27/2024,1,July,Saturday,35,35,,Gold Plated,,,bracelets,Hamsa Hand,,,,,
12/13/2024 11:19:52,7/27/2024,1,July,Saturday,50,50,,Sterling Silver,,Sterling Silver Necklaces,,silver,,,,,
12/13/2024 11:20:44,7/27/2024,1,July,Saturday,45,45,,Sterling Silver,,Sterling Silver Bracelets,,silver,,,,,
12/13/2024 15:54:30,7/29/2024,1,July,Monday,34,34,,Gold Plated,,,dangling earings,Raw Stone,,,Emerald agate (may),,
12/13/2024 15:56:12,7/29/2024,1,July,Monday,45,40,,Gold Plated,,,rings,Raw Stone,,,Emerald & Pearl,,
12/13/2024 15:57:08,7/29/2024,1,July,Monday,45,40,,Gold Plated,,,necklaces,Raw Stone,,,Amethyst (february),,
12/13/2024 15:59:34,7/29/2024,1,July,Monday,36,36,,Gold Plated,,,stud earings,Raw Stone,,,Amethyst (february),,
12/13/2024 16:01:23,7/30/2024,1,July,Tuesday,45,45,,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,multi-colour,,,,
12/13/2024 16:02:42,7/31/2024,1,July,Wednesday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,,,,,,
12/13/2024 16:03:51,7/31/2024,1,July*,Wednesday,27,27,,Gold Plated,,,dangling earings,Mohave Stone,,NA,,,
12/13/2024 16:03:51,7/31/2024,1,July,Wednesday,29,29,,Gold Plated,,,dangling earings,Mohave Stone,,NA,,,
12/13/2024 16:04:45,7/31/2024,1,July,Wednesday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/13/2024 21:58:44,8/1/2024,1,August,Thursday,10,,10,Handmade / Beaded,beaded bracelets,,,pink lava 4mm,,,,,
12/13/2024 22:00:13,8/2/2024,1,August,Friday,45,45,,Sterling Silver,,Sterling Silver Necklaces,,Zirconia,multi colour,,,,
12/13/2024 22:01:19,8/2/2024,1,August,Friday,50,50,,Sterling Silver,,Sterling Silver Necklaces,,,,,,,
12/13/2024 22:02:04,8/2/2024,1,August,Friday,40,40,,Sterling Silver,,Sterling Silver Bracelets,,,,,,,
12/14/2024 8:54:17,8/2/2024,1,August,Friday,45,45,,Gold Plated,,,bracelets,Raw Stone,,,Opal tourmaline (october),,
12/14/2024 8:55:33,8/2/2024,1,August,Friday,10,10,,Handmade / Beaded,beaded bracelets,,,children,,,,,
12/14/2024 8:57:11,8/2/2024,1,August,Friday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,,,,,,
12/13/2024 22:03:01,8/3/2024,1,August,Saturday,45,45,,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,Aquamarine,,,,
12/14/2024 8:58:07,8/3/2024,1,August,Saturday,36,36,,Sterling Silver,,Sterling Silver Necklaces,,Daisy,,,,,
12/14/2024 8:58:57,8/3/2024,1,August,Saturday,30,30,,Gold Plated,,,dangling earings,Mohave Stone,,Mohave ruby,,,
12/14/2024 9:00:29,8/3/2024,1,August,Saturday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,multi colour,,,,
12/14/2024 9:01:44,8/5/2024,1,August,Monday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,Daisy,,,,,
12/14/2024 9:02:48,8/7/2024,1,August,Wednesday,50,50,,Sterling Silver,,Sterling Silver Necklaces,,AlHamdulillah,,,,,
12/14/2024 9:03:52,8/7/2024,1,August,Wednesday,10,10,,Handmade / Beaded,Earing Charms,,,Butterfly,,,,,
12/14/2024 9:05:00,8/9/2024,1,August,Friday,10,10,,Handmade / Beaded,beaded bracelets,,,multi colour,,,,,
12/14/2024 9:06:37,8/9/2024,1,August,Friday,16,16,,Handmade / Beaded,beaded bracelets,,,Love,,,,,
12/14/2024 9:09:16,8/9/2024,1,August,Friday,39,39,,Gold Plated,,,necklaces,Raw Stone,,,Sapphire (september),,
12/15/2024 15:52:10,8/9/2024,1,August,Friday,26,26,,Gold Plated,,,dangling earings,Mohave Stone,,N/A,,,
12/14/2024 9:26:11,8/10/2024,1,August,Saturday,45,45,,Sterling Silver,,Sterling Silver Rings,,Evil eye,,,,,
